consituency,consituency_no,leading_cand,leading_party,trailing_cand,trailing_party,margin,status
175-LUCKNOW CANTT.,175,DR. REETA JOSHI,Bharatiya Janata Party,APARNA YADAV,Samajwadi Party,33796,Result Declared
Agra Cantt.,87,DR. GIRRAJ SINGH DHARMESH,Bharatiya Janata Party,GUTIYARI LAL DUWESH,Bahujan Samaj Party,46325,Result Declared
Agra North,89,JAGAN PRASAD GARG,Bharatiya Janata Party,ER. GYANENDRA GAUTAM,Bahujan Samaj Party,30123,Counting In Progress
Agra Rural,90,HEMLATA DIWAKAR,Bharatiya Janata Party,KALICHARAN SUMAN,Bahujan Samaj Party,65296,Result Declared
Agra South,88,YOGENDRA UPADHYAYA,Bharatiya Janata Party,ZULFIQAR AHMAD BHUTTO,Bahujan Samaj Party,23395,Counting In Progress
Ajagara,385,KAILASH NATH SONKAR,Suheldev Bhartiya Samaj Party,LALJI SONKAR,Samajwadi Party,21349,Result Declared
Akbarpur,281,RAM ACHAL RAJBHAR,Bahujan Samaj Party,RAM MURTI VERMA,Samajwadi Party,13974,Counting In Progress
Akbarpur - Raniya,206,PRATIBHA SHUKLA,Bharatiya Janata Party,NEERAJ SINGH,Samajwadi Party,28729,Result Declared
Alapur,279,ANEETA,Bharatiya Janata Party,SANGEETA,Samajwadi Party,12513,Counting In Progress
Aliganj,103,SATYAPAL SINGH RATHAUR,Bharatiya Janata Party,RAMESHWAR SINGH YADAV,Samajwadi Party,13851,Result Declared
Aligarh,76,SANJEEV RAJA,Bharatiya Janata Party,ZAFAR ALAM,Samajwadi Party,15440,Counting In Progress
Allahabad North,262,HARSHVARDHAN BAJPAI,Bharatiya Janata Party,ANUGRAH NARAIN SINGH,Indian National Congress,35025,Result Declared
Allahabad South,263,NAND GOPAL GUPTA NANDI,Bharatiya Janata Party,PARVEZ  AHMAD,Samajwadi Party,28587,Result Declared
Allahabad West,261,SIDHARTH NATH SINGH,Bharatiya Janata Party,RICHA SINGH,Samajwadi Party,25336,Result Declared
Amanpur,101,DEVENDRA PRATAP,Bharatiya Janata Party,VIRENDRA SINGH SOLANKI,Samajwadi Party,33494,Counting In Progress
Amethi,186,GARIMA SINGH,Bharatiya Janata Party,GAYTRI PRASAD,Samajwadi Party,4769,Counting In Progress
Amritpur,193,SUSHIL KUMAR SHAKYA,Bharatiya Janata Party,NARENDRA SINGH YADAV,Samajwadi Party,40507,Counting In Progress
Amroha,41,MEHBOOB ALI,Samajwadi Party,NAUSHAD ALI,Bahujan Samaj Party,15042,Result Declared
Anupshahr,67,SANJAY,Bharatiya Janata Party,GAJENDRA SINGH,Bahujan Samaj Party,46522,Counting In Progress
Aonla,126,DHARAM PAL SINGH,Bharatiya Janata Party,SIDHRAJ SINGH,Samajwadi Party,3546,Counting In Progress
Arya Nagar,214,AMITABH BAJPAI,Samajwadi Party,SALIL VISHNOI,Bharatiya Janata Party,5723,Result Declared
Asmoli,32,PINKI YADAV,Samajwadi Party,NARENDRA SINGH,Bharatiya Janata Party,21126,Result Declared
Atrauli,73,SANDEEP KUMAR SINGH,Bharatiya Janata Party,VIRESH YADAV,Samajwadi Party,61315,Counting In Progress
Atrauliya,343,DR.SANGRAM YADAV,Samajwadi Party,KANHAIYA LAL NISHAD,Bharatiya Janata Party,2467,Counting In Progress
Aurai,394,DINANATH BHASKAR,Bharatiya Janata Party,MADHUBALA PASI,Samajwadi Party,19779,Counting In Progress
Auraiya,204,RAMESH CHANDRA,Bharatiya Janata Party,BHIMRAO AMBEDKAR,Bahujan Samaj Party,31862,Result Declared
Ayah Shah,241,VIKAS GUPTA,Bharatiya Janata Party,AYODHYA PRASAD,Samajwadi Party,51965,Result Declared
Ayodhya,275,VED PRAKASH GUPTA,Bharatiya Janata Party,TEJ NARAYAN PANDEY ALIAS PAWAN PANDEY,Samajwadi Party,50440,Result Declared
Azamgarh,347,DURGA PRASAD,Samajwadi Party,AKHILESH,Bharatiya Janata Party,26262,Counting In Progress
Babaganj,245,VINOD KUMAR,Independent,PAWAN KUMAR,Bharatiya Janata Party,37160,Result Declared
Baberu,233,CHANDRAPAL KUSHWAHA,Bharatiya Janata Party,KIRAN YADAV,Bahujan Samaj Party,22301,Counting In Progress
Babina,222,"RAJEEV SINGH ""PARICHHA""",Bharatiya Janata Party,YASHPAL SINGH YADAV,Samajwadi Party,16837,Result Declared
Bachhrawan,177,RAM NARESH RAWAT,Bharatiya Janata Party,SHAHAB SHARAN,Indian National Congress,22309,Result Declared
Badaun,115,MAHESH CHANDRA GUPTA,Bharatiya Janata Party,ABID RAZA KHAN,Samajwadi Party,16467,Result Declared
Badlapur,364,RAMESH CHANDRA MISHRA,Bharatiya Janata Party,LALJI YADAVA,Bahujan Samaj Party,2372,Result Declared
Baghpat,52,YOGESH DHAMA,Bharatiya Janata Party,AHMED HAMEED,Bahujan Samaj Party,31360,Result Declared
Bah,94,RANI PAKSHALIKA SINGH,Bharatiya Janata Party,MADHUSUDAN SHARMA,Bahujan Samaj Party,23140,Result Declared
Baheri,118,CHHATRA PAL SINGH,Bharatiya Janata Party,NASEEM AHMAD,Bahujan Samaj Party,42837,Counting In Progress
Bahraich,286,ANUPMA JAISWAL,Bharatiya Janata Party,RUBAB SAYEDA,Samajwadi Party,6702,Result Declared
Bairia,363,SURENDRA,Bharatiya Janata Party,JAY PRAKASH ANCHAL,Samajwadi Party,17077,Result Declared
Bakshi Kaa Talab,169,AVINASH TRIVEDI,Bharatiya Janata Party,NAKUL DUBEY,Bahujan Samaj Party,17584,Result Declared
Balamau,160,RAM PAL VERMA,Bharatiya Janata Party,NEELU SATYARTHI,Bahujan Samaj Party,22888,Counting In Progress
Baldev,85,POORAN PRAKASH,Bharatiya Janata Party,NIRANJAN SINGH DHANGAR,Rashtriya Lok Dal,13208,Result Declared
BALHA (SC),282,AKSHAYVARALAL,Bharatiya Janata Party,KIRAN BHARTI,Bahujan Samaj Party,46616,Counting In Progress
Ballia Nagar,361,ANAND,Bharatiya Janata Party,LAXMAN,Samajwadi Party,35285,Counting In Progress
Balrampur,294,PALTURAM,Bharatiya Janata Party,SHIVLAL,Indian National Congress,24860,Result Declared
Banda,235,PRAKASH DWIVEDI,Bharatiya Janata Party,MADHUSUDAN KUSHWAHA,Bahujan Samaj Party,32828,Result Declared
Bangermau,162,KULDEEP SINGH SENGAR,Bharatiya Janata Party,BADALOO KHAN,Samajwadi Party,28406,Counting In Progress
Bansdih,362,RAM GOVIND CHAUDHERI,Samajwadi Party,KETAKEE SINGH,Independent,1687,Result Declared
Bansgaon,327,VIMLESH PASWAN,Bharatiya Janata Party,DHARMENDRA KUMAR,Bahujan Samaj Party,22470,Counting In Progress
Bansi,304,JAI PRATAP SINGH,Bharatiya Janata Party,LAL JI,Samajwadi Party,18942,Counting In Progress
Bara,264,DR. AJAI KUMAR,Bharatiya Janata Party,AJAY,Samajwadi Party,34053,Result Declared
Barabanki,268,DHARMRAJ SINGH YADAV URF SURESH YADAV,Samajwadi Party,SURENDRA SINGH,Bahujan Samaj Party,29705,Result Declared
Barauli,72,SHRI DALVEER SINGH,Bharatiya Janata Party,THAKUR JAIVIR SINGH,Bahujan Samaj Party,37369,Counting In Progress
Baraut,51,KRISHANPAL MALIK URF KRISHANPAL MALIK,Bharatiya Janata Party,SAHAB SINGH,Rashtriya Lok Dal,26486,Result Declared
Bareilly,124,DR. ARUN KUMAR,Bharatiya Janata Party,PREM PRAKASH AGARWAL,Indian National Congress,22356,Counting In Progress
Bareilly Cantt.,125,RAJESH AGARWAL,Bharatiya Janata Party,MUJAHID HASSAN KHAN,Indian National Congress,12664,Counting In Progress
Barhaj,342,SURESH TIWARI,Bharatiya Janata Party,MURLI MANOHAR JAISWAL,Bahujan Samaj Party,11745,Counting In Progress
Barhapur,19,SUSHANT KUMAR,Bharatiya Janata Party,HUSAIN AHMAD,Indian National Congress,6833,Counting In Progress
Barkhera,128,KISHAN LAL RAJPOOT,Bharatiya Janata Party,HEMRAJ VERMA,Samajwadi Party,57930,Result Declared
Basti Sadar,310,DAYARAM CHAUDHARY,Bharatiya Janata Party,MAHENDRA NATH YADAV,Samajwadi Party,42594,Result Declared
Behat,1,NARESH SAINI,Indian National Congress,MAHAVEER SINGH RANA,Bharatiya Janata Party,25586,Counting In Progress
Belthara Road,357,DHANANJAY KANNOUJIA,Bharatiya Janata Party,GORAKH PASWAN,Samajwadi Party,18363,Counting In Progress
Bhadohi,392,RAVINDRA NATH TRIPATHI,Bharatiya Janata Party,RANGNATH MISHRA,Bahujan Samaj Party,7470,Counting In Progress
Bhagwantnagar,166,HRIDAY NARAYAN DIKSHIT,Bharatiya Janata Party,SHASHANK SHEKHAR SINGH,Bahujan Samaj Party,53366,Counting In Progress
Bharthana,201,SAVITRI KATHERIA,Bharatiya Janata Party,KAMLESH KUMAR KATHERIA,Samajwadi Party,1571,Counting In Progress
Bhatpar Rani,340,ASHUTOSH,Samajwadi Party,JAYNATH KUSHWAHA URF GUDDAN,Bharatiya Janata Party,11097,Result Declared
Bhinga,289,MOHAMMAD ASLAM,Bahujan Samaj Party,ALEKSHENDRA KANT SINGH,Bharatiya Janata Party,6090,Counting In Progress
Bhognipur,208,VINOD KUMAR KATIYAR,Bharatiya Janata Party,DHARMPAL SINGH BHADAURIA,Bahujan Samaj Party,19005,Counting In Progress
Bhojipura,120,BAHORAN LAL MAURYA,Bharatiya Janata Party,SHAZIL ISLAM ANSARI,Samajwadi Party,22884,Counting In Progress
Bhojpur,195,NAGENDRA SINGH RATHORE,Bharatiya Janata Party,ARSHAD JAMAL SIDDIQUI,Samajwadi Party,25500,Counting In Progress
Bhongaon,108,RAM NARESH AGNIHOTRI,Bharatiya Janata Party,ALOK KUMAR,Samajwadi Party,20297,Counting In Progress
Bidhuna,202,VINAY SHAKYA,Bharatiya Janata Party,DINESH KUMAR VERMA,Samajwadi Party,3910,Result Declared
Bijnor,22,SUCHI,Bharatiya Janata Party,RUCHI VIRA,Samajwadi Party,27281,Result Declared
Bikapur,274,SHOBHA SINGH CHAUHAN,Bharatiya Janata Party,ANAND SEN,Samajwadi Party,26652,Counting In Progress
Bilari,30,MOHD. FAEEM,Samajwadi Party,SURESH SAINI,Bharatiya Janata Party,13441,Result Declared
Bilaspur,36,BALDEV SINGH AULAKH,Bharatiya Janata Party,SANJAY KAPOOR,Indian National Congress,22330,Counting In Progress
Bilgram-Mallanwan,159,ASHISH KUMAR SINGH ASHU,Bharatiya Janata Party,SUBHASH PAL,Samajwadi Party,9467,Counting In Progress
Bilhaur,209,BHAGWATI PRASAD SAGAR,Bharatiya Janata Party,KAMLESH CHANDRA DIWAKAR,Bahujan Samaj Party,31166,Result Declared
Bilsi,114,PT. RADHA KRISHAN SHARMA,Bharatiya Janata Party,MUSARRAT ALI BITTAN,Bahujan Samaj Party,26979,Result Declared
Bindki,239,KARAN SINGH PATEL,Bharatiya Janata Party,RAMESHWAR DAYAL,Samajwadi Party,56378,Counting In Progress
Bisalpur,130,AGYASH RAM SARAN VERMA,Bharatiya Janata Party,ANIS AHMAD KHAN ALIAS PHOOLBABU,Indian National Congress,40996,Result Declared
Bisauli (SC),112,KUSHAGRA SAGAR,Bharatiya Janata Party,ASHUTOSH MAURYA ALIAS RAJU,Samajwadi Party,10688,Result Declared
Biswan,149,MAHENDRA SINGH,Bharatiya Janata Party,AFZAAL KAUSAR,Samajwadi Party,10235,Result Declared
Bithari Chainpur,123,RAJESH KUMAR MISHRA,Bharatiya Janata Party,VEER PAL SINGH YADAV,Samajwadi Party,19511,Result Declared
Bithoor,210,ABHIJEET SINGH SANGA,Bharatiya Janata Party,MUNINDRA SHUKLA,Samajwadi Party,58987,Result Declared
Budhana,11,UMESH MALIK,Bharatiya Janata Party,PRAMOD TYAGI,Samajwadi Party,13201,Result Declared
Bulandshahr,65,VIRENDRA SINGH SIROHI,Bharatiya Janata Party,MOH ALEEM KHAN,Bahujan Samaj Party,26873,Counting In Progress
Caimpiyarganj,320,FATEH BAHADUR,Bharatiya Janata Party,CHINTA YADAV,Indian National Congress,32457,Counting In Progress
Chail,253,SANJAY KUMAR,Bharatiya Janata Party,TALAT AZIM,Indian National Congress,40116,Counting In Progress
Chakia,383,SHARADA PRASAD,Bharatiya Janata Party,JITENDRA KUMAR,Bahujan Samaj Party,20063,Counting In Progress
Chamraua,35,NASEER AHMAD KHAN,Samajwadi Party,ALI YUSUF ALI,Bahujan Samaj Party,34337,Counting In Progress
Chandausi (SC),31,GULAB DEVI,Bharatiya Janata Party,KM. VIMLESH KUMARI,Indian National Congress,45469,Result Declared
Chandpur,23,KAMLESH SAINI,Bharatiya Janata Party,MOHAMMAD IQBAL,Bahujan Samaj Party,35649,Result Declared
Charkhari,231,BRIJBHUSHAN RAJPOOT ALIAS GUDDU BHAIYA,Bharatiya Janata Party,URMILA DEVI,Samajwadi Party,44014,Result Declared
Charthawal,12,VIJAY KUMAR KASHYAP,Bharatiya Janata Party,MUKESH KUMAR CHAUDHARY,Samajwadi Party,23231,Result Declared
Chauri-Chaura,326,SANGEETA YADAV,Bharatiya Janata Party,MANUROJAN YADAV,Samajwadi Party,45720,Counting In Progress
Chhanbey,395,RAHUL PRAKASH,Apna Dal (Soneylal),DHANESHWAR,Bahujan Samaj Party,63318,Counting In Progress
Chhaprauli,50,SAHENDER SINGH RAMALA,Rashtriya Lok Dal,SATENDER SINGH,Bharatiya Janata Party,3842,Result Declared
Chharra,74,RAVENDRA PAL SINGH,Bharatiya Janata Party,SAGIR,Bahujan Samaj Party,45279,Counting In Progress
Chhata,81,LAXMI NARAYAN,Bharatiya Janata Party,ATUL SINGH,Independent,63838,Result Declared
Chhibramau,196,ARCHANA PANDEY,Bharatiya Janata Party,TAHIR HUSSAIN SIDDIQUI,Bahujan Samaj Party,33928,Counting In Progress
Chillupar,328,VINAY SHANKAR TIWARI,Bahujan Samaj Party,RAJESH TRIPATHI,Bharatiya Janata Party,3359,Result Declared
Chitrakoot,236,CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,VEER SINGH,Samajwadi Party,26936,Result Declared
Chunar,398,ANURAG SINGH,Bharatiya Janata Party,JAGTAMBA SINGH PATEL,Samajwadi Party,61994,Counting In Progress
Colonelganj,298,AJAY PRATAP SINGH,Bharatiya Janata Party,YOGESH PRATAP SINGH,Samajwadi Party,28405,Result Declared
Dadraul,136,MANVENDRA SINGH,Bharatiya Janata Party,RAMMURTEE SINGH VERMA,Samajwadi Party,17398,Result Declared
Dadri,62,TEJPAL SINGH NAGAR,Bharatiya Janata Party,SATVEER SINGH GURJAR,Bahujan Samaj Party,80177,Result Declared
Dariyabad,270,SATISH CHANDRA SHARMA,Bharatiya Janata Party,RAJEEV KUMAR SINGH,Samajwadi Party,50686,Result Declared
Dataganj,117,RAJEEV KUMAR SINGH URF BABBU BHAIYA,Bharatiya Janata Party,SINOD KUMAR SHAKYA (DEEPU BHAIYA),Bahujan Samaj Party,25759,Result Declared
Debai,68,DR. ANITA LODHI RAJPUT,Bharatiya Janata Party,HARISH KUMAR,Samajwadi Party,65630,Result Declared
Deoband,5,BRIJESH,Bharatiya Janata Party,MAJID ALI,Bahujan Samaj Party,29400,Counting In Progress
Deoria,337,JANMEJAI SINGH,Bharatiya Janata Party,J.P. JAISWAL,Samajwadi Party,46236,Result Declared
Dhampur,20,ASHOK KUMAR RANA,Bharatiya Janata Party,THA. MOOL CHAND CHAUHAN,Samajwadi Party,17864,Result Declared
Dhanaura (SC),39,RAJEEV KUMAR,Bharatiya Janata Party,JAGRAM SINGH,Samajwadi Party,38229,Result Declared
Dhanghata,314,SHRI RAM CHAUHAN,Bharatiya Janata Party,ALGOO PRASAD,Samajwadi Party,16909,Counting In Progress
DHAURAHRA,141,AWASTHI BALA PRASAD,Bharatiya Janata Party,YESHPAL SINGH CHAUDHARI,Samajwadi Party,3353,Result Declared
Dholana,58,AAASLAM CHOUDHARY,Bahujan Samaj Party,RAMESH CHAND TOMER,Bharatiya Janata Party,3576,Result Declared
Dibiyapur,203,LAKHAN SINGH,Bharatiya Janata Party,PRADEEP KUMAR YADAV,Samajwadi Party,12094,Result Declared
Didarganj,350,SUKHDEV RAJBHAR,Bahujan Samaj Party,ADIL SHAIKH,Samajwadi Party,3645,Result Declared
Doomariyaganj,306,SAIYADA KHATOON,Bahujan Samaj Party,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,2291,Counting In Progress
Duddhi (SC),403,HAR IRAM,Apna Dal (Soneylal),VIJAY SINGH GOND,Bahujan Samaj Party,1085,Result Declared
Etah,104,VIPIN KUMAR DAVID,Bharatiya Janata Party,JUGENDRA SINGH YADAV,Samajwadi Party,21129,Result Declared
Etawah,200,SARITA BHADAURIYA,Bharatiya Janata Party,KULDEEP GUPTA 'SANTU',Samajwadi Party,17342,Counting In Progress
Etmadpur,86,RAM PRATAP SINGH,Bharatiya Janata Party,DR. DHARMPAL SINGH,Bahujan Samaj Party,44778,Counting In Progress
Faridpur (SC),122,DR. SHYAM BIHARI LAL,Bharatiya Janata Party,DR. SIYA RAM SAGAR,Samajwadi Party,22383,Counting In Progress
Farrukhabad,194,MEJOR SUNIL DUTT DWIVEDI,Bharatiya Janata Party,MOHD. UMAR KHAN,Bahujan Samaj Party,25380,Counting In Progress
Fatehabad,93,JITENDRA VERMA,Bharatiya Janata Party,RAJENDRA SINGH,Samajwadi Party,34364,Result Declared
Fatehpur,240,VIKRAM SINGH,Bharatiya Janata Party,CHANDRA PRAKASH LODHI,Samajwadi Party,31498,Result Declared
Fatehpur Sikri,91,CHAU. UDAYBHAN SINGH,Bharatiya Janata Party,SURAJPAL SINGH,Bahujan Samaj Party,52337,Counting In Progress
Fazilnagar,332,GANGA,Bharatiya Janata Party,VISHWNATH,Samajwadi Party,37515,Counting In Progress
Firozabad,97,MANISH ASIJA,Bharatiya Janata Party,AZIM BHAI,Samajwadi Party,41727,Result Declared
Gainsari,292,SHAILESH KUMAR SINGH,Bharatiya Janata Party,ALAUDDIN,Bahujan Samaj Party,2303,Result Declared
Gangoh,7,PRADEEP KUMAR,Bharatiya Janata Party,NAUMAN MASOOD,Indian National Congress,38028,Result Declared
Garautha,225,JAWAHAR LAL RAJPOOT,Bharatiya Janata Party,DEEP NARAYAN SINGH (DEEPAK YADAV),Samajwadi Party,15831,Result Declared
Garhmukteshwar,60,KAMAL SINGH MALIK,Bharatiya Janata Party,PRASHANT CHAUDHARY,Bahujan Samaj Party,35294,Result Declared
Gaura,301,PRABHAT KUMAR VERMA,Bharatiya Janata Party,RAM PRATAP SINGH,Samajwadi Party,21833,Counting In Progress
Gauriganj,185,RAKESH PRATAP SINGH,Samajwadi Party,MOHAMMAD NAYEEM,Indian National Congress,26305,Counting In Progress
Ghatampur,218,KAMAL RANI,Bharatiya Janata Party,SAROJ KUREEL,Bahujan Samaj Party,45178,Result Declared
Ghaziabad,56,ATUL GARG,Bharatiya Janata Party,SURESH BANSAL,Bahujan Samaj Party,70505,Result Declared
Ghazipur,375,SANGEETA,Bharatiya Janata Party,RAJESH KUSHWAHA,Samajwadi Party,32568,Counting In Progress
Ghorawal,400,ANIL KUMAR MAURYA,Bharatiya Janata Party,RAMESH CHANDRA DUBEY,Samajwadi Party,57649,Result Declared
Ghosi,354,FAGU CHAUHAN,Bharatiya Janata Party,ABBAS ANSARI,Bahujan Samaj Party,7271,Counting In Progress
GOLA GOKRANNATH,139,ARVIND GIRI,Bharatiya Janata Party,VINAY TIWARI,Samajwadi Party,55017,Counting In Progress
Gonda,296,PRATEEK BHUSHAN SINGH,Bharatiya Janata Party,MO. JALEEL KHAN,Bahujan Samaj Party,11641,Counting In Progress
Gopalpur,344,NAFEES AHMAD,Samajwadi Party,SHRIKRISHNA PAL,Bharatiya Janata Party,14960,Counting In Progress
Gopamau (SC),157,SHYAM PRAKASH,Bharatiya Janata Party,RAJESHWARI,Samajwadi Party,31378,Result Declared
Gorakhpur Rural,323,BIPIN SINGH,Bharatiya Janata Party,VIJAY BAHADUR YADAV,Samajwadi Party,4410,Counting In Progress
Gorakhpur Urban,322,DR. RADHA MOHAN DAS AGRAWAL,Bharatiya Janata Party,RANA RAHUL SINGH,Indian National Congress,40848,Counting In Progress
Goshainganj,276,INDRA PRATAP ALIAS KHABBU TIWARI,Bharatiya Janata Party,ABHAY SINGH,Samajwadi Party,11620,Counting In Progress
Govindnagar,212,SATYA DEV PACHAURI,Bharatiya Janata Party,AMBUJ SHIKLA,Indian National Congress,21621,Counting In Progress
Gunnaur,111,AJEET KUMAR URF RAJU YADAV,Bharatiya Janata Party,RAM KHILADI SINGH,Samajwadi Party,7905,Counting In Progress
Gyanpur,393,VIJAY MISHRA,Nirbal Indian Shoshit Hamara Aam Dal,RAMRATI BIND,Samajwadi Party,3628,Counting In Progress
Haidergarh,272,BAIJNATH RAWAT,Bharatiya Janata Party,RAM MAGAN,Samajwadi Party,8071,Counting In Progress
Hamirpur,228,ASHOK KUMAR SINGH CHANDEL,Bharatiya Janata Party,SANJEEV KUMAR URF SANJAY DIXIT,Bahujan Samaj Party,35164,Counting In Progress
Handia,258,HAKIM LAL,Bahujan Samaj Party,PRAMILA DEVI,Apna Dal (Soneylal),9104,Counting In Progress
Hapur (SC),59,SHRIPAL SINGH,Bahujan Samaj Party,VIJAY PAL (AADHTI),Bharatiya Janata Party,2851,Counting In Progress
Harchandpur,179,KANCHAN LODHI,Bharatiya Janata Party,RAKESH SINGH,Indian National Congress,1338,Counting In Progress
Hardoi,156,NITIN AGARWAL,Samajwadi Party,RAJA BUX SINGH,Bharatiya Janata Party,1465,Counting In Progress
Hargaon (SC),147,SURESH RAHI,Bharatiya Janata Party,RAMHET BHARTI,Bahujan Samaj Party,10702,Counting In Progress
Harraiya,307,AJAY KUMAR SINGH ''AJAY SINGH'',Bharatiya Janata Party,RAJKISHOR SINGH,Samajwadi Party,20791,Counting In Progress
Hasanpur,42,MAHENDRA SINGH KHARGVANSHI,Bharatiya Janata Party,KAMAL AKHTAR,Samajwadi Party,2415,Counting In Progress
Hastinapur (SC),45,DINESH KHATIK,Bharatiya Janata Party,YOGESH VERMA,Bahujan Samaj Party,13171,Counting In Progress
Hata,334,PAWAN KUMAR,Bharatiya Janata Party,VIRENDRA,Bahujan Samaj Party,9407,Counting In Progress
Hathras (SC),78,HARI SHANKAR MAHOR,Bharatiya Janata Party,BRAJ MOHAN RAHI,Bahujan Samaj Party,9437,Counting In Progress
Husainganj,242,RANVENDRA PRATAP SINGH URF DHUNNI BHAIYA,Bharatiya Janata Party,USHA MAURYA,Indian National Congress,10543,Counting In Progress
Iglas (SC),77,RAJVEER DILER,Bharatiya Janata Party,RAJENDRA KUMAR,Bahujan Samaj Party,25011,Counting In Progress
Isauli,187,SHIV KUMAR SINGH,Most Backward Classes Of India,ABRAR AHMAD,Samajwadi Party,256,Counting In Progress
Itwa,305,DR. SATISH CHANDRA DWIVEDI,Bharatiya Janata Party,ARSHAD KHURSHEED,Bahujan Samaj Party,1991,Counting In Progress
Jagdishpur,184,SURESH KUMAR,Bharatiya Janata Party,RADHEY SHYAM,Indian National Congress,2664,Counting In Progress
Jahanabad,238,JAI KUMAR SINGH JAIKI,Apna Dal (Soneylal),MADANGOPAL VERMA,Samajwadi Party,22197,Counting In Progress
Jakhanian,373,GAREEB,Samajwadi Party,TRIVENI RAM,Suheldev Bhartiya Samaj Party,223,Counting In Progress
Jalalabad,132,SHARADVIR SINGH,Samajwadi Party,MANOJ KASHYAP,Bharatiya Janata Party,4843,Counting In Progress
Jalalpur,280,RITESH PANDEY,Bahujan Samaj Party,DR. RAJESH SINGH,Bharatiya Janata Party,3105,Counting In Progress
Jalesar,106,SANJEEV KUMAR DIWAKAR,Bharatiya Janata Party,RANJEET SUMAN,Samajwadi Party,2820,Counting In Progress
Jangipur,376,RAM NARESH KUSHWAHA,Bharatiya Janata Party,VIRENDRA KUMAR YADAV,Samajwadi Party,1559,Counting In Progress
Jasrana,96,SHIVPRATAP SINGH,Samajwadi Party,RAMGOPAL PAPPU LODHI,Bharatiya Janata Party,1595,Counting In Progress
Jaswantnagar,199,SHIVPAL SINGH YADAV,Samajwadi Party,MANISH YADAV PATRE,Bharatiya Janata Party,15209,Counting In Progress
Jaunpur,366,NADEEM JAVED,Indian National Congress,GIRISH CHANDRA YADAV,Bharatiya Janata Party,1281,Counting In Progress
Jewar,63,VEDRAM BHATI,Bahujan Samaj Party,DHIRENDRA SINGH,Bharatiya Janata Party,2942,Counting In Progress
Jhansi Nagar,223,RAVI SHARMA,Bharatiya Janata Party,SITA RAM KUSHWAHA,Bahujan Samaj Party,33694,Counting In Progress
Kadipur,191,RAJESH GAUTAM,Bharatiya Janata Party,BHAGELURAM,Bahujan Samaj Party,1498,Counting In Progress
Kaimganj (SC),192,AMAR SINGH,Bharatiya Janata Party,DR. SURABHI,Samajwadi Party,5389,Counting In Progress
Kairana,8,MRIGANKA SINGH,Bharatiya Janata Party,NAHID HASAN,Samajwadi Party,7575,Counting In Progress
Kaiserganj,288,MUKUT BIHARI,Bharatiya Janata Party,RAMTEJ YADAV,Samajwadi Party,16836,Counting In Progress
Kalpi,220,KU. NARENDRA PAL SINGH,Bharatiya Janata Party,CHHOTE SINGH,Bahujan Samaj Party,13440,Counting In Progress
Kalyanpur,211,NILIMA KATIYAR,Bharatiya Janata Party,SATISH KUMAR NIGAM,Samajwadi Party,9623,Counting In Progress
Kannauj,198,ANIL KUMAR DOHARE,Samajwadi Party,BANWARI LAL DOHARE,Bharatiya Janata Party,2444,Counting In Progress
Kanpur Cantt.,216,RAGHUNANDAN SINGH BHADAURIA,Bharatiya Janata Party,SOHIL AKHTAR ANSARI,Indian National Congress,3961,Counting In Progress
Kanth,25,RAJESH KUMAR SINGH (CHUNNU),Bharatiya Janata Party,ANEESURREHMAN,Samajwadi Party,4954,Counting In Progress
Kanth,25,RAJESH KUMAR SINGH (CHUNNU),Bharatiya Janata Party,ANEESURREHMAN,Samajwadi Party,2348,Result Declared
Kapilvastu,303,SHYAM DHANI,Bharatiya Janata Party,VIJAY KUMAR,Samajwadi Party,38154,Counting In Progress
Kaptanganj,308,CHANDRA PRAKASH ALIAS CA CHANDRA PRAKASH SHUKL,Bharatiya Janata Party,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,6827,Result Declared
Karachhana,260,UJJWAL RAMAN SINGH,Samajwadi Party,PIYUSH RANJAN,Bharatiya Janata Party,15024,Result Declared
Karhal,110,SOBARAN SINGH YADAV,Samajwadi Party,RAMA SHAKYA,Bharatiya Janata Party,38405,Counting In Progress
Kasganj,100,DEVENDRA SINGH RAJPUT,Bharatiya Janata Party,HASRAT ULLAH SHERVANI,Samajwadi Party,52030,Counting In Progress
KASTA (SC),143,SAURABH SINGH,Bharatiya Janata Party,SUNIL KUMAR LALA,Samajwadi Party,24273,Result Declared
Katehari,277,LAL JI VERMA,Bahujan Samaj Party,AWDHESH KUMAR DWIVEDI,Bharatiya Janata Party,6287,Counting In Progress
Katra,131,VEER VIKRAM SINGH PRINCE,Bharatiya Janata Party,RAJESH YADAV,Samajwadi Party,16730,Result Declared
Katra Bazar,297,BAWAN SINGH,Bharatiya Janata Party,BAIJ NATH,Samajwadi Party,30811,Counting In Progress
Kerakat S.C.,372,DINESH CHAUDHARY,Bharatiya Janata Party,SANJAI KUMAR SAROJ,Samajwadi Party,15259,Counting In Progress
Khadda,329,JATASHANKER TRIPATHI,Bharatiya Janata Party,VIJAY PRATAP KUSHWAHA,Bahujan Samaj Party,38497,Result Declared
Khaga,243,KRISHNA PASWAN,Bharatiya Janata Party,OM PRAKASH GIHAR,Indian National Congress,56434,Result Declared
